questionA,questionB
하루 100번 연락,한 달에 한 번 연락
애인과 데이트 한 달에 한번,애인과 데이트 하루에 한번
100% 확률로 10억,"50% 확률로 1,000억"
설레는 연애 ,친구처럼 편한 연애
일 잘하는데 성격 거지같음,일 못하는데 성격 좋음
190cm 바퀴벌레와 살기,190마리 바퀴벌레와 살기
연상,연하
환승이별,잠수이별
단톡방 공개 고백,길거리 공개 고백
울면서 위로해달라고 하는 카리나 or 차은우,좋은 소식 있다며 한 번 보자는 이재용
평생 해외여행 비용 전액 지원,평생 국내 식사 비용 전액 비용
100% 확률로 1000만원 받기,10% 확률로 10억 받기
하루에 딱 1시간만 자기,하루에 20시간 자기
1년동안 매일 같은 음식 먹기,1년 동안 매일 다른 음식 먹기
먹어도 먹어도 살 안찜,안자도 하나도 안피곤함
1년 동안 인터넷 없이 살기,"1년 동안 가족, 친구 없이 살기"
벌레 나오는 집에서 살기,귀신 나오는 집에서 살기
5분 단위로 알람 맞추고 안일어나는 룸메,밤에 안자고 영상통화하는 룸메
학교 앞 열악한 자취방(바퀴벌레 있음),왕복 4시간 3번 환승 통학(핸드폰 배터리 X)
영상마다 과제가 있는 온라인 강의,강의시간마다 발표시키는 대면강의
현애인의 전애인과 팀플 같이 하기,헤어진 애인과 시간표 전부 겹치기
잘생겼는데(예쁜데) 노잼,평범하지만 꿀잼